Scenario,Month,Precip,SnowDelta,ResDelta,SoilDelta,Act EvapoTrans,Ag Irrigation,Muni & Domest,Environmental Flows,Outflow Willamette,Ag Irrig Consumed,Muni & Domest Consumed,,,,,,,,,,,,,,,,,,,,,,,,
Simulated Historical (,Ann,161.8056442,0,0,0,61.80316908,1.210277041,0.911519427,14.81538634,100.0086234,0.905661508,0.120867806,,,,,,,,,,,,,,,,,,,,,,,,
Simulated Historical (,Oct,12.49622667,0.000284613,-1.744016225,7.217842543,3.700302283,0.009407117,0.069849217,1.728269709,3.321813459,0.007055338,0.004968872,,,,,,,,,,,,,,,,,,,,,,,,
Simulated Historical (,Nov,25.2675253,0.077322916,-1.284679799,16.81146957,3.074380066,0,0.062110896,0,6.589032544,0,3.36E-05,,,,,,,,,,,,,,,,,,,,,,,,
Simulated Historical (,Dec,26.81001172,1.532219056,-0.19818554,9.022460079,2.753100808,0,0.06475035,0,13.70041732,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Simulated Historical (,Jan,22.14807371,1.399532092,-0.141625353,1.312910545,3.047267944,0,0.064848215,0,16.52998848,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Simulated Historical (,Feb,18.4075707,0.720690673,1.563662812,-1.212437216,3.696773732,0,0.058482183,0,13.6388807,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Simulated Historical (,Mar,17.17893938,-0.516503081,1.677265458,-3.400681073,5.955461419,0.010255456,0.064956107,0,13.46339666,0.007691592,6.74E-05,,,,,,,,,,,,,,,,,,,,,,,,
Simulated Historical (,Apr,13.091253,-0.816730578,1.226219728,-6.634381464,8.097923393,0.064216836,0.065123142,3.412921183,11.21822192,0.048162627,0.001868911,,,,,,,,,,,,,,,,,,,,,,,,
Simulated Historical (,May,10.51580127,-1.437440845,0.677296576,-7.601242914,10.67035122,0.17478319,0.07610424,2.962748073,8.206837232,0.131087392,0.008514582,,,,,,,,,,,,,,,,,,,,,,,,
Simulated Historical (,Jun,6.386740352,-0.752645772,-0.017484871,-9.449553833,10.88272107,0.329042185,0.086370382,2.016314661,5.72370376,0.246781639,0.018312237,,,,,,,,,,,,,,,,,,,,,,,,
Simulated Historical (,Jul,1.924467362,-0.194837038,-0.277710001,-8.850786793,8.042023361,0.367563838,0.10810048,1.481374037,3.205777832,0.275672879,0.034178409,,,,,,,,,,,,,,,,,,,,,,,,
Simulated Historical (,Aug,2.098287868,-0.011768092,-0.474969498,-3.545530669,4.081722981,0.212116222,0.106067339,1.49371882,2.048833145,0.159087166,0.034024091,,,,,,,,,,,,,,,,,,,,,,,,
Simulated Historical (,Sep,5.205370989,-0.000123943,-1.050913532,0.750669566,3.329990439,0.040163834,0.084756876,1.670660719,2.175748459,0.030122875,0.018899615,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Reference ,Ann,172.1425879,0,0,0,55.98324088,1.347084815,4.53E-09,14.81538634,116.2012864,1.008014504,0.262019831,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Reference ,Oct,9.976208459,-9.46E-09,-1.691424394,4.742891232,3.492002503,0.012108658,0.14957206,1.728269709,3.432739127,0.009081493,0.010640123,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Reference ,Nov,27.64050288,0.003198028,-1.040986442,18.84180241,2.742513073,0,0.133001615,0,7.093975811,0,7.20E-05,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Reference ,Dec,34.81926239,0.246369581,0.322820612,11.98302057,2.682874447,0,0.13865361,0,19.58417717,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Reference ,Jan,23.68557158,0.193070945,-0.357658968,-1.538708407,3.071065807,0,0.140653444,0,22.31780221,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Reference ,Feb,15.84698651,0.181358845,1.0474296,-4.174592504,3.637805507,0,0.126845746,0,15.15498506,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Reference ,Mar,22.00329198,-0.003041438,1.949340285,-0.074479416,5.648265767,0.015794444,0.14088745,0,14.48320678,0.011845833,0.000146288,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Reference ,Apr,13.63026732,-0.327730686,1.218292182,-8.182648954,7.800924247,0.066828966,0.141249742,3.412921183,13.12143053,0.050121724,0.004053601,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Reference ,May,8.44077957,-0.23102567,0.496016193,-10.51061003,10.46658825,0.277981821,0.165067377,2.962748073,8.219810826,0.208486366,0.018467824,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Reference ,Jun,5.423678836,-0.058523827,-0.144553812,-9.371278161,9.857812623,0.416668319,0.187334273,2.016314661,5.140222012,0.312501239,0.039718588,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Reference ,Jul,2.22270781,-0.003675757,-0.3154133,-7.913999527,7.559278577,0.401091585,0.234466038,1.481374037,2.896517817,0.300818689,0.074131734,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Reference ,Aug,2.683276519,-4.42E-09,-0.47885474,-3.359403943,4.333419873,0.112708855,0.230056259,1.49371882,2.188115332,0.084531641,0.073797035,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Reference ,Sep,5.517824061,-7.23E-09,-1.007858903,0.543238223,3.640465147,0.040836692,0.183834675,1.670660719,2.341979602,0.030627519,0.040992597,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 HighClim s,Ann,154.9248082,0,0,0,49.20872134,1.501030025,5.05E-09,14.81538634,105.9002226,1.122819193,0.262000287,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 HighClim s,Oct,12.03201966,-1.56E-08,-1.518626501,7.079201733,3.194294063,0.003974992,0.149560719,1.728269709,3.277150384,0.002981244,0.010639316,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 HighClim s,Nov,23.61302503,0.000116536,-1.052465135,15.52115561,2.509527207,0,0.132991503,0,6.634690816,0,7.20E-05,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 HighClim s,Dec,29.1333385,0.104314145,-0.159446536,11.12662184,2.251426837,0,0.138643084,0,15.81042221,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 HighClim s,Jan,21.41430169,0.07803915,-0.037199779,-0.787785102,2.771661653,0,0.140642957,0,19.38958577,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 HighClim s,Feb,20.41238822,-0.028144099,1.693791308,0.35125961,3.52404914,0,0.12683628,0,14.87143226,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 HighClim s,Mar,17.81016433,-0.084250829,1.649605855,-5.941222204,6.059393037,0.030655088,0.140876955,0,16.12663847,0.022991316,0.000146277,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 HighClim s,Apr,12.78237337,-0.049421928,1.092923542,-7.367537021,7.9116184,0.136376807,0.141239214,3.412921183,11.19479038,0.102282606,0.004053299,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 HighClim s,May,8.169850475,-0.020605891,0.346635092,-10.01343318,10.3906807,0.376005777,0.165055076,2.962748073,7.466573759,0.282004332,0.018466448,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 HighClim s,Jun,3.122619896,-4.71E-05,-0.195672008,-10.00158621,9.0391562,0.476877984,0.187320292,2.016314661,4.280768978,0.357658488,0.039715625,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 HighClim s,Jul,1.126659136,-1.11E-09,-0.412263275,-6.538393446,5.651195263,0.352188928,0.234448557,1.481374037,2.426120596,0.264141696,0.074126208,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 HighClim s,Aug,1.742745086,-2.26E-09,-0.524382421,-3.154379832,3.336139043,0.098430141,0.230039117,1.49371882,2.085368299,0.073822606,0.073791536,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 HighClim s,Sep,3.413885689,-4.00E-09,-0.946985931,-0.345998222,2.57740331,0.022582539,0.183820986,1.670660719,2.129466536,0.016936904,0.040989544,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Extreme sc,Ann,154.9248082,0,0,0,48.70063379,1.357098764,4.57E-09,14.81538634,106.3963926,1.015152656,0.402657809,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Extreme sc,Oct,12.03201966,-1.56E-08,-1.125448038,6.96843389,3.213227443,0.00359917,0.229300903,1.728269709,2.975806384,0.002699378,0.016311802,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Extreme sc,Nov,23.61302503,0.000109471,-0.732650908,15.52508141,2.501203843,0,0.20389767,0,6.319281216,0,0.000110441,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Extreme sc,Dec,29.1333385,0.103779842,-0.142564762,11.20826523,2.22179848,0,0.212562441,0,15.7420597,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Extreme sc,Jan,21.41430169,0.077571604,-0.063700535,-0.767387922,2.741276063,0,0.21617072,0,19.42654248,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Extreme sc,Feb,20.41238822,-0.027938916,0.232060568,1.123148516,3.49042606,0,0.194949612,0,15.594692,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Extreme sc,Mar,17.81016433,-0.084196991,1.264164453,-6.482875857,5.984225583,0.027008703,0.216530374,0,17.12884714,0.020256527,0.000224831,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Extreme sc,Apr,12.78237337,-0.048877825,1.543676594,-7.645480114,7.811035167,0.122633427,0.217087201,3.412921183,11.12201955,0.09197507,0.006229993,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Extreme sc,May,8.169850475,-0.02038932,0.589062507,-9.968716854,10.2944771,0.341495531,0.253692555,2.962748073,7.275417041,0.256121648,0.028383255,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Extreme sc,Jun,3.122619896,-5.78E-05,-0.136297641,-9.910564672,9.007574667,0.429773211,0.28791463,2.016314661,4.161965385,0.322329908,0.061043624,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Extreme sc,Jul,1.126659136,-1.11E-09,-0.361365411,-6.614769917,5.67425885,0.319017385,0.360351581,1.481374037,2.428535615,0.239263039,0.113933295,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Extreme sc,Aug,1.742745086,-2.27E-09,-0.422245794,-3.263043511,3.404920953,0.089608092,0.353574227,1.49371882,2.02311344,0.067206069,0.113418908,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Extreme sc,Sep,3.413885689,-3.99E-09,-0.689518286,-0.515150821,2.637011077,0.020401355,0.282536133,1.670660719,1.981543723,0.015301017,0.063001661,,,,,,,,,,,,,,,,,,,,,,,,
