Scenario,Month,Precip,SnowDelta,ResDelta,SoilDelta,Act EvapoTrans,Ag Irrigation,Muni & Domest,Environmental Flows,Outflow Willamette,Ag Irrig Consumed,Muni & Domest Consumed
Simulated Historical (,Ann,161.859108737,-5.55111512313e-17,-0.00898143008984,1.23820670054,31.3976159198,1.41218523988,1.29967715389,14.8153863371,129.14626313,1.0571776276,0.156254927523
Simulated Historical (,Oct,12.9021383281,-0.0082511611832,-2.22435992334,7.04717413212,2.12302207966,0.0233982238425,0.105295393196,1.72826970936,5.96455320083,0.0175486678819,0.00642543282865
Simulated Historical (,Nov,25.3733799932,0.203632075111,-1.55324439994,11.5366644487,1.66070234407,5.44187998413e-06,0.093367042923,0.0,13.5256255253,4.0814099881e-06,0.0
Simulated Historical (,Dec,26.8669921788,2.05877356486,-0.272953249023,5.02926771286,1.56446942881,5.81640998542e-07,0.0914270072899,0.0,18.4874347212,4.36230748907e-07,0.0
Simulated Historical (,Jan,22.1801013966,2.51247132203,-0.0593702007407,-0.2060969042,1.59999083729,0.0,0.0915160003459,0.0,18.3331063422,0.0,0.0
Simulated Historical (,Feb,18.2381900142,1.62430716949,1.88795469133,-1.23970216925,1.6630177322,0.000265626779575,0.0871244964025,0.0,14.3026125904,0.000199220084681,0.0
Simulated Historical (,Mar,17.2181321313,0.260736152542,1.75392678012,-1.42738948754,2.29033135593,0.032738526592,0.104970221143,0.0,14.3405273303,0.024553894944,0.000158284291203
Simulated Historical (,Apr,12.8214117693,-0.333245440678,1.39995148868,-2.87284325143,2.78525837288,0.132862907464,0.111434109958,3.41292118321,11.8422905999,0.0996471805977,0.00353705633189
Simulated Historical (,May,10.5259707039,-2.34368340678,0.876214772522,-1.84461668581,3.53498396271,0.276624385164,0.124037067674,2.9627480732,10.3030720612,0.207468288873,0.0145967016698
Simulated Historical (,Jun,6.17381042425,-2.20643527305,0.106088676297,-4.18566258567,3.90996224068,0.392328616508,0.125095563226,2.01631466093,8.549857366,0.294246462381,0.0271400021007
Simulated Historical (,Jul,1.81877013142,-1.32838059457,-0.0348030451499,-6.71846836615,4.23378800169,0.334199636323,0.129382501618,1.4813740366,5.66663413559,0.250649727242,0.0413255416442
Simulated Historical (,Aug,2.23307596006,-0.368408943893,-0.0864144862239,-4.24952323791,3.49655478983,0.168603241939,0.124277260376,1.49371882024,3.44086783825,0.126452431454,0.0391760158914
Simulated Historical (,Sep,5.21767575915,-0.0715154638848,-1.80197253462,0.369403094825,2.53216720847,0.0485429820009,0.111750489737,1.67066071905,4.18959345435,0.0364072365007,0.0238958927651
2070 - 2100 Reference ,Ann,172.231612161,8.29414661951e-17,-0.010726834655,0.21137869427,30.5941071851,1.09191997054,2.35516574635,14.8153863371,141.379072303,0.817383222271,0.307347790702
2070 - 2100 Reference ,Oct,10.3605857166,4.08215345777e-05,-2.24909764819,4.96691735978,2.04209591667,0.0190217751151,0.205399530093,1.72826970936,5.60062926681,0.0142663313363,0.0125350957061
2070 - 2100 Reference ,Nov,28.2693994355,0.0566088415044,-1.54037587649,14.1191274212,1.57216173333,3.04528704231e-06,0.182054358194,0.0,14.0618773159,2.28396528173e-06,0.0
2070 - 2100 Reference ,Dec,34.2480536419,0.388642289252,0.0593343182131,7.51246122999,1.50810641333,1.59022746329e-07,0.178267170172,0.0,24.7795093911,1.19267059747e-07,0.0
2070 - 2100 Reference ,Jan,23.6012031715,0.404029926667,-0.00537463638213,-0.59699269761,1.54128131667,2.09375806243e-08,0.179813234792,0.0,22.2582592621,1.57031854682e-08,0.0
2070 - 2100 Reference ,Feb,16.0990075181,0.458497681,1.8462609092,-2.76769130857,1.61794595667,0.000575158643939,0.171231940333,0.0,14.9439942798,0.000431368982954,0.0
2070 - 2100 Reference ,Mar,21.7793125302,0.256654112333,1.81055709688,0.249058257846,2.21424106,0.0386289211511,0.206390683522,0.0,17.2488020032,0.0289716908633,0.000311273406142
2070 - 2100 Reference ,Apr,13.3454811053,-0.367662566667,1.42762421728,-3.85501737669,2.66986523,0.120734214713,0.219190598973,3.41292118321,13.4706716013,0.0905506610348,0.0069576373386
2070 - 2100 Reference ,May,8.55740407647,-0.611583033333,0.65193927114,-5.36727188551,3.49726838,0.279534367579,0.24405520337,2.9627480732,10.3870513442,0.209650775684,0.0287209849114
2070 - 2100 Reference ,Jun,5.1998315633,-0.4270815955,-0.0221126749247,-5.54957097701,3.74259333,0.296108748183,0.246177276806,2.01631466093,7.45600348073,0.222081561137,0.0534093544209
2070 - 2100 Reference ,Jul,2.06976553594,-0.142404245179,-0.0650255838714,-6.28387063314,4.18977657,0.241427529397,0.254614496772,1.4813740366,4.37128942814,0.181070647048,0.0813252745794
2070 - 2100 Reference ,Aug,2.77278509128,-0.0156024793747,-0.233256301666,-3.25439658377,3.47733799667,0.057547664254,0.244529664889,1.49371882024,2.79870245943,0.0431607481905,0.0770836582395
2070 - 2100 Reference ,Sep,5.63650012362,-0.000139752237683,-1.69119992584,1.03862588771,2.51301751333,0.0362626920775,0.219815582945,1.67066071905,3.77619640066,0.0271970190581,0.0470045121005
2070 - 2100 HighClim s,Ann,154.993548244,-1.01101852584e-17,-0.0319013350721,0.200468010961,27.8317998063,1.19934633124,2.3552249851,14.8153863371,127.133364428,0.89790474286,0.307352601318
2070 - 2100 HighClim s,Oct,12.0589577531,-1.11619440838e-05,-2.12587669398,7.16471445684,1.67000885667,0.0239575898058,0.205404510263,1.72826970936,5.35012229554,0.0179681923544,0.0125353892541
2070 - 2100 HighClim s,Nov,24.6075850042,0.0282679696429,-1.53928890517,12.680443753,1.36487857,4.43566424887e-06,0.182059528945,0.0,12.0732836167,3.32674818665e-06,0.0
2070 - 2100 HighClim s,Dec,28.5620801927,0.20033998022,-0.148744910558,6.76760399779,1.28557128333,2.4461345732e-07,0.17827273359,0.0,20.4573098419,1.8346009299e-07,0.0
2070 - 2100 HighClim s,Jan,21.2012601919,0.233064350333,0.0191639266857,-0.28469918426,1.35748672,2.1215619591e-08,0.179818591626,0.0,19.8762443791,1.59117146932e-08,0.0
2070 - 2100 HighClim s,Feb,20.5369673251,0.0303200126667,2.16618005713,0.609464531909,1.52739698333,0.000658764759431,0.171236551535,0.0,16.2036057401,0.000494073569574,0.0
2070 - 2100 HighClim s,Mar,17.6288685811,-0.146075688667,1.75927900224,-2.50927338784,2.17279439667,0.0699778543421,0.206395401838,0.0,16.3521442587,0.0524833907566,0.000311279914964
2070 - 2100 HighClim s,Apr,12.7472940592,-0.0750168836667,1.37358649361,-3.48838897206,2.50705017667,0.164628482339,0.219194689839,3.41292118321,12.4300632446,0.123471361754,0.00695776467362
2070 - 2100 HighClim s,May,8.04493950147,-0.18482661455,0.645103158278,-5.20512090655,3.34085251667,0.319562695376,0.244059013351,2.9627480732,9.44893134762,0.239672021532,0.0287214274985
2070 - 2100 HighClim s,Jun,2.90810631157,-0.0780627418533,-0.026997052127,-6.69275546189,3.62544395333,0.315668175171,0.246180723864,2.01631466093,6.08047761411,0.236751131378,0.0534101006857
2070 - 2100 HighClim s,Jul,1.13629200238,-0.00796446394783,-0.132086989452,-6.02010189182,3.87729942,0.20125145577,0.254618053808,1.4813740366,3.4191459276,0.150938591827,0.0813264115713
2070 - 2100 HighClim s,Aug,1.7368171569,-0.000120799801176,-0.431745160512,-3.14329408122,3.03314789333,0.0573891046954,0.244533463111,1.49371882024,2.27882930511,0.0430418285215,0.0770848513452
2070 - 2100 HighClim s,Sep,3.7238348929,8.60415665644e-05,-1.59047426121,0.321875157032,2.05422923667,0.0441075000614,0.219819660398,1.67066071905,2.93811871885,0.033080625046,0.0470053763749
2070 - 2100 Extreme sc,Ann,154.993548244,4.9060148305e-18,-0.0339712877437,-0.0583527639273,33.1924530509,2.26867933645,3.13814573886,14.8153863371,122.033351675,1.69762736086,0.395209260444
2070 - 2100 Extreme sc,Oct,12.0589577531,-1.12788269512e-05,-2.03891567629,7.10177735153,2.00906444,0.022153093705,0.264157683374,1.72826970936,4.9870429167,0.0166148202788,0.0161191337622
2070 - 2100 Extreme sc,Nov,24.6075850042,0.028246161255,-1.54227592055,12.9538546874,1.71509185667,3.54469360108e-06,0.234273149205,0.0,11.4526682195,2.65852020081e-06,0.0
2070 - 2100 Extreme sc,Dec,28.5620801927,0.200917148787,-0.109053633691,6.98007414936,1.64016392333,1.40981468784e-07,0.229496095807,0.0,19.8499786049,1.05736101588e-07,0.0
2070 - 2100 Extreme sc,Jan,21.2012601919,0.234781159333,0.0203029156986,-0.182439927863,1.69045675333,1.83476848224e-08,0.231683200669,0.0,19.4381592914,1.37607636168e-08,0.0
2070 - 2100 Extreme sc,Feb,20.5369673251,0.0305651303333,2.12388055198,0.679179349065,1.81012285,0.000462942919338,0.220541153802,0.0,15.8932194438,0.000347207189503,0.0
2070 - 2100 Extreme sc,Mar,17.6288685811,-0.146431287667,1.76477407431,-2.52263680447,2.43307358667,0.0519111236169,0.265670194985,0.0,16.1000890123,0.0389333427127,0.000400573297041
2070 - 2100 Extreme sc,Apr,12.7472940592,-0.075222957,1.36369504516,-3.60828680924,2.81229897667,0.146056070471,0.281982475673,3.41292118321,12.2548098036,0.109542052854,0.00895033920824
2070 - 2100 Extreme sc,May,8.04493950147,-0.185922038657,0.658790975151,-5.40970606973,3.87492404,0.434579783803,0.313835238206,2.9627480732,9.1068525947,0.325934837852,0.0369319003598
2070 - 2100 Extreme sc,Jun,2.90810631157,-0.0783116832,-0.0131187452164,-7.01240764628,4.41979616667,0.495338266434,0.316492783682,2.01631466093,5.5921482196,0.371503699825,0.0686643307975
2070 - 2100 Extreme sc,Jul,1.13629200238,-0.00856937139883,-0.183082447652,-6.3397240832,4.8124155,0.484425388676,0.327338343128,1.4813740366,2.85525240463,0.363319041507,0.104553876202
2070 - 2100 Extreme sc,Aug,1.7368171569,-0.000125869872813,-0.59786353803,-3.12122164014,3.59660523333,0.355910288968,0.314441974358,1.49371882024,1.85942297162,0.266932716726,0.0991215806474
2070 - 2100 Extreme sc,Sep,3.7238348929,8.4886912996e-05,-1.48110488861,0.423184679643,2.3588193,0.2726624852,0.282781695743,1.67066071905,2.42285091496,0.2044968639,0.0604675261695
